J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
3,0.1,0.9,0.6,0.4,0.025,0.0,0.8465248164040103,0.9020401461395625,0.8794824264256096,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.025,0.025,0.8007195709655299,0.864700859787941,0.826210762205066,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.025,0.05,0.6961621217385595,0.7920563836979906,0.7127166141655902,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.05,0.0,0.7365498748782321,0.8288485596762118,0.75912497574614,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.05,0.025,0.6986336669130139,0.7902608500789884,0.717827435427088,0.09655481344788563
3,0.1,0.9,0.6,0.4,0.05,0.05,0.6068033323237383,0.717141780311352,0.6218496880340257,0.09655481344788563
4,0.05,0.8,0.3,0.1,0.0,0.0,0.8036812474185192,0.8703020158161232,0.8145683489679454,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.0,0.025,0.7324191946681644,0.8238884702696619,0.7496910926208543,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.0,0.05,0.6178349444830787,0.740042028587838,0.6283357066656263,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.025,0.0,0.6781529342448257,0.7792231409777474,0.686216123202515,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.025,0.025,0.6235996442991371,0.7323100932030234,0.6300118776369326,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.025,0.05,0.5241091495790086,0.650138562268293,0.5330169421643423,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.05,0.0,0.5184828740422638,0.6418168339296335,0.5239542260947847,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.05,0.025,0.47233696242006823,0.5974067450925904,0.4765631633900136,0.048900418319468786
4,0.05,0.8,0.3,0.1,0.05,0.05,0.3988064772635479,0.522453478983123,0.40158217092161386,0.048900418319468786
4,0.05,0.8,0.6,0.4,0.0,0.0,0.8012172163087107,0.8701926638531743,0.8267142836011159,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.0,0.025,0.6958540644846851,0.796944607439373,0.7112732518129894,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.0,0.05,0.5463916147385489,0.6809655296565527,0.5544501997182143,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.025,0.0,0.7101205400442553,0.806138314174902,0.7310941240810401,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.025,0.025,0.609552883305975,0.7320474010887669,0.6230597528838125,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.025,0.05,0.4721249287624893,0.618244564608043,0.4790881740920714,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.05,0.0,0.5606877353677283,0.6903552999511682,0.5772477849269155,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.05,0.025,0.4741708723487763,0.6188213996911135,0.4846778592006612,0.04970127448346762
4,0.05,0.8,0.6,0.4,0.05,0.05,0.3598327122836764,0.513641108856118,0.3651397895011572,0.04970127448346762
4,0.05,0.9,0.3,0.1,0.0,0.0,0.9009046213955433,0.936078129211908,0.9161253274158775,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.0,0.025,0.8498087294881224,0.9134327104215005,0.8754811014777105,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.0,0.05,0.7489973514866761,0.8618486035542398,0.7670224813248023,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.025,0.0,0.8000311544889253,0.8762112152885422,0.8106306860685325,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.025,0.025,0.774214517945099,0.8524370313772369,0.7821533746023858,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.025,0.05,0.6875946315819093,0.7992660170571758,0.7033235414497704,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.05,0.0,0.6423217363672666,0.7627513381280965,0.647137701659796,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.05,0.025,0.6176934645443489,0.7384067497672259,0.6215579706765794,0.049966798801590606
4,0.05,0.9,0.3,0.1,0.05,0.05,0.5626478958508035,0.6854624355378082,0.5661680176727268,0.049966798801590606
