J,alpha,target,phi_E1,phi_E0,method,total_n,sample_ratio_to_tabata,power_excess,min_g1,mean_g1,min_g2,source
4,0.05,0.9,0.6,0.4,Tabata,384,1.0,0.004078154016804447,0.9040781540168045,0.9362320033251231,0.9329800828423686,local exact engine
4,0.05,0.9,0.6,0.4,ROED-EA,384,1.0,0.004078154016804447,0.9040781540168045,0.9362320033251231,0.9329800828423686,local exact engine
4,0.05,0.9,0.6,0.4,ROED-B,377,0.9817708333333334,0.0024250976856381445,0.9024250976856382,0.9343039312747817,0.9311573110313985,local exact engine
4,0.05,0.9,0.6,0.4,ROED,377,0.9817708333333334,0.0024250976856381445,0.9024250976856382,0.9343039312747817,0.9311573110313985,local exact engine
4,0.1,0.8,0.3,0.1,MERIT,196,0.9074074074074074,0.009679999999999911,0.80968,0.8714428571428572,0.88807,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.1,0.8,0.3,0.1,Tabata,216,1.0,0.003154108521924326,0.8031541085219244,0.870442863094799,0.8532431505154853,local exact engine
4,0.1,0.8,0.3,0.1,ROED-EA,216,1.0,0.003154108521924326,0.8031541085219244,0.870442863094799,0.8532431505154853,local exact engine
4,0.1,0.8,0.3,0.1,ROED-B,210,0.9722222222222222,0.0005218232251715804,0.8005218232251716,0.8648923458490131,0.8416201128756106,local exact engine
4,0.1,0.8,0.3,0.1,ROED,208,0.9629629629629629,0.0015041777219116925,0.8015041777219117,0.8666837432785458,0.8455494264380801,local exact engine
4,0.1,0.8,0.6,0.4,MERIT,244,0.8714285714285714,0.0016100000000000003,0.80161,0.8655871428571429,0.88341,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.1,0.8,0.6,0.4,Tabata,280,1.0,0.01212707528386403,0.8121270752838641,0.8737986614140913,0.8557551709848447,local exact engine
4,0.1,0.8,0.6,0.4,ROED-EA,276,0.9857142857142858,0.004585730280427747,0.8045857302804278,0.8725143813880415,0.8386493637302623,local exact engine
4,0.1,0.8,0.6,0.4,ROED-B,265,0.9464285714285714,0.00195417427034994,0.80195417427035,0.8644326776523642,0.8444400929603431,local exact engine
4,0.1,0.8,0.6,0.4,ROED,262,0.9357142857142857,0.001683955391097114,0.8016839553910972,0.8642943519050698,0.8444400929603431,local exact engine
4,0.1,0.9,0.3,0.1,MERIT,276,0.9078947368421053,0.0040399999999999325,0.90404,0.9355757142857143,0.9588,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.1,0.9,0.3,0.1,Tabata,304,1.0,0.005146011782824811,0.9051460117828248,0.932108434163587,0.952697743667764,local exact engine
4,0.1,0.9,0.3,0.1,ROED-EA,292,0.9605263157894737,0.0017574316059588702,0.9017574316059589,0.9347728659828299,0.9277891715546818,local exact engine
4,0.1,0.9,0.3,0.1,ROED-B,283,0.930921052631579,5.060068162410225e-05,0.9000506006816241,0.9349766107688419,0.9182886058336776,local exact engine
4,0.1,0.9,0.3,0.1,ROED,283,0.930921052631579,0.000845402651277416,0.9008454026512774,0.9350892205662898,0.9182886058336776,local exact engine
4,0.1,0.9,0.6,0.4,MERIT,348,0.925531914893617,0.0022199999999999998,0.90222,0.9357592857142857,0.94921,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
4,0.1,0.9,0.6,0.4,Tabata,376,1.0,0.0002330121001389296,0.900233012100139,0.9323205202357514,0.9532399669732534,local exact engine
4,0.1,0.9,0.6,0.4,ROED-EA,364,0.9680851063829787,0.0029862630581923844,0.9029862630581924,0.9340594381267612,0.9395454708148574,local exact engine
4,0.1,0.9,0.6,0.4,ROED-B,357,0.949468085106383,0.000386196372454517,0.9003861963724545,0.932434104828395,0.9311573110313985,local exact engine
4,0.1,0.9,0.6,0.4,ROED,357,0.949468085106383,0.0009182322269789545,0.900918232226979,0.9329198356127577,0.9311573110313985,local exact engine
